date,transit_count,source
2026-02-26 00:00:00,132,prandelli
2026-02-27 00:00:00,128,prandelli
2026-02-28 00:00:00,98,prandelli
2026-03-01 00:00:00,18,prandelli
2026-03-02 00:00:00,7,prandelli
2026-03-03 00:00:00,2,prandelli
2026-03-04 00:00:00,2,prandelli
2026-03-05 00:00:00,1,prandelli
2026-03-06 00:00:00,0,prandelli
2026-03-07 00:00:00,1,prandelli
2026-03-08 00:00:00,2,prandelli
2026-03-09 00:00:00,1,prandelli
2026-03-10 00:00:00,2,prandelli
2026-03-11 00:00:00,1,prandelli
2026-03-12 00:00:00,0,prandelli
2026-03-13 00:00:00,3,prandelli
2026-03-14 00:00:00,1,prandelli
2026-03-15 00:00:00,0,prandelli
2026-03-16 00:00:00,1,prandelli
2026-03-17 00:00:00,2,prandelli
2026-03-18 00:00:00,1,prandelli
2026-03-19 00:00:00,0,prandelli
2026-03-20 00:00:00,1,prandelli
2026-03-21 00:00:00,2,prandelli
2026-03-22 00:00:00,3,prandelli
2026-03-23 00:00:00,5,prandelli
2026-03-24 00:00:00,6,prandelli
2026-03-25 00:00:00,5,windward
2026-03-26 00:00:00,9,windward
2026-03-27 00:00:00,9,usni
2026-03-28 00:00:00,11,usni
2026-03-29 00:00:00,3,windward
2026-03-30 00:00:00,6,windward
2026-03-31 00:00:00,11,windward
2026-04-01 00:00:00,16,windward
2026-04-02 00:00:00,9,windward
2026-04-06,7,hormuztracker
2026-04-08,7,hormuztracker
2026-04-13,10,hormuztracker
2026-04-19,10,hormuztracker
